player_id,firstname,surname
1025393,Cole,Geyer
1025394,Jonah,Pezet
1025395,William,Warbrick
1025396,Tyran,Wishart
1025397,Jojo,Fifita
1025398,Tony,Francis
1025400,Thomas,Weaver
1025403,Valingi,Kepu
1025407,Brandon,Tumeth
1025408,Junior,Tupou
1026948,James,Schiller
1026949,Jesse,Colquhuon
1026950,Tom,Hazelton
1026951,Ethan,Quai-Ward
1026953,Dylan,Lucas
1026955,Austin,Dias
1026956,Alec,MacDonald
1026957,Sualauvi,Faalogo
1027395,Adrian,Trevilyan
1027753,Michael,Molo
1028073,Jacob,Alick
1028074,Elie,El-Zakhem
1028397,Tom,Chester
1028431,Kayal,Iro
1028432,Viliami,Fifita
1028444,Declan,Casey
1028445,Kurtis,Morrin
1028576,Trent,Peoples
1028577,Josiah,Karapani
1028578,Fonua,Pole
1028601,Ben,Talty
1028650,Zac,Fulton
1028652,Terrell,May
1028888,Ben,Lovett
1028889,Grant,Anderson
1028986,Robert,Derby
1029069,Jayden,Tanner
1029356,Harrison,Edwards
1029358,Justin,Matamua
1029383,Deine,Mariner
1029583,Raymond,Tuaimalo Vaega
1029629,Alfred,Smalley
1029653,Siua,Wong
1029654,Jeral,Skelton
1029732,Klese,Haas
1029923,Kitione,Kautoga
1029924,Oryn,Keeley
1030024,Joshua,Stuckey
1030035,Liam,Henry
1030036,Jack,Cole
1030037,Ativalu,Lisati
1030769,Jye,Gray
1030770,Tyrone,Munro
1030837,Blake,Mozer
1030839,Jacob,Preston
1030840,Isaiya,Katoa
1030841,Mason,Teague
1030842,Valynce,Te Whare
1030843,Joe,Chan
1030845,Sandon,Smith
1030846,Triston,Reilly
1031174,Taine,Tuaupiki
1031176,Kulikefu,Finefeuiaki
1031177,Niwhai,Puru
1031178,Kurt,Donoghoe
1031179,Keano,Kini
1031268,Tallis,Duncan
1031270,Karl,Oloapu
1031271,Toby,Couchman
1031440,Thomas,Cant
1031441,Iszac,Fa'asuamaleaui
1031442,Jahream,Bula
1032204,Toni,Mataele
1032205,Demitric,Sifakula
1032435,Samuela,Fainu
1032436,Jack,Bostock
1032437,Samuel,Stonestreet
1032438,Zac,Laybutt
1032905,Kruise,Leeming
1032957,Ali,Leiataua
1032958,Zyon,Maiu'u
1033155,Sione,Finau
1033195,Blake,Wilson
1033236,Hohepa,Puru
1033277,Aitasi,James
1033356,Thomas,Duffy
1033357,Israel,Leota
1033358,Benjamin,Te Kura
1033359,Dean,Matterson
1033439,Tallyn,Da Silva
1033440,Harrison,Graham
1033441,Max,Plath
1033442,Khaled,Rajab
1033528,Jesse,McLean
1033885,Ryan,Couchman
1034034,Josh,Feledy
1034175,Ethan,Strange
1034215,Utuloa,Asomua
1034216,Connor,Muhleisen
1034245,Trai,Fuller
1034246,Arthur,Miller-Stephen
1034247,Kit,Laulilii
1034355,Luke,Sommerton
1034419,Josiah,Pahulu
1034456,Joseph,O'Neill
1034485,Josh,Rogers
1034486,Keagan,Russell-Smith
1034487,Tristian,Powell
1034493,Jacob,Laban
1034495,Alex,Lobb
1034496,Riley,Jones
1034497,David,Armstrong
1034979,Caleb,Navale
1035287,Lazarus,Vaalepu
1035289,Bailey,Hayward
1035290,Joash,Papalii
1035291,Jordan,Samrani
1035293,Chevy,Stewart
1035294,Michael,Asomua
1035295,Morgan,Smithies
1035296,Noah,Martin
1035297,Vena,Patuki-Case
1035298,Arama,Hau
1035300,Jaylan,de Groot
1035304,Fletcher,Sharpe
1035305,Kai,Pearce-Paul
1035307,Paul,Bryan
1035308,Sebastian,Su'a
1035309,Will,Pryce
1035312,Marly,Bitungane
1035314,Jamal,Shibasaki
1035316,Kaiden,Lahrs
1035317,Charlie,Guymer
1035318,Ethan,Sanders
1035320,Sam,Tuivaiti
1035322,Harrison,Hassett
1035323,Isaiah,Iongi
1035324,Clayton,Faulalo
1035325,Lehi,Hopoate
1035327,Dylan,Egan
1035328,Hamish,Stewart
1035329,Jackson,Shereb
1035330,Savelio,Tamale
1035332,Liam,Ison
1035335,Blake,Steep
1035336,Ethan,Roberts
1035338,Mark,Nawaqanitawase
1035339,Robert,Toia
1035342,Dion,Teaupa
1035345,Liam,Le Blanc
