competition_id,match_id,round,team_name,team_location,utc_start,score,completion_rate_percentage,possession_percentage,time_in_own_half,time_in_opp_half,time_in_own20,time_in_opp20,set_restarts,goal_line_dropouts,season,days_rest,season_stage,ladder_points,ladder_points_for,ladder_points_against,ladder_points_diff,ladder_position,elo,shortelo,longelo,result
9867,98670405,4,Panthers,away,2016-03-27T05:00:05Z,21.6616,66.864,51.76,1437.9228,1415.5136,922.2887999999999,1044.8936,0,1.0564,2016,7.85417824074074,Early,2,61,70,-9,11,1479.2244519424235,1495.1073940272138,1466.5667861078036,12
9867,98670405,4,Dragons,home,2016-03-27T05:00:05Z,14.7304,74.17920000000001,52.3868,1522.6696000000002,1383.6716,1021.6292000000001,879.1284,0,1.9364,2016,6.9999768518518515,Early,2,26,54,-28,13,1489.9890167856133,1497.571677270517,1484.4000790702703,14
9867,98670406,4,Knights,away,2016-03-28T03:00:06Z,12.3816,69.5452,45.5328,1742.0004000000001,1369.2407999999998,1136.064,613.8004000000001,0,1.1164,2016,8.854201388888889,Early,1,42,102,-60,14,1478.8485299697927,1495.0894163767346,1465.4556354752217,18
9867,98670406,4,Warriors,home,2016-03-28T03:00:06Z,24.377599999999997,75.6804,47.18,1633.63,1205.5536,1066.6028,918.0708,0,1.1164,2016,8,Early,0,50,80,-30,15,1467.7491988449556,1492.6076526790623,1446.6925444207623,40
9867,98670407,4,Eels,away,2016-03-28T05:00:07Z,5.862400000000002,61.982400000000005,45.7512,1593.3200000000002,1479.9868000000001,1029.3948,699.9492000000001,0,2,2016,9.829918981481482,Early,4,44,39,5,9,1512.9702462975072,1502.5714331950182,1524.3240891001137,8
9867,98670407,4,Tigers,home,2016-03-28T05:00:07Z,33.15279999999999,67.4932,52.692800000000005,1241.0688,1643.3704,921.5712,1022.1080000000001,0,0.17280000000000015,2016,8.77085648148148,Early,NA,NA,NA,NA,NA,1510.0046912870566,1502.4283079935626,1515.5453970695908,0
9867,98670408,4,Sharks,home,2016-03-28T08:00:08Z,14.7824,68.75120000000001,46.385999999999996,1452.1396,1555.3140000000003,957.5336,848.1004,0,2,2016,7,Early,2,56,44,12,10,1487.7648733463989,1497.4642834021079,1477.8378624200825,14
9867,98670408,4,Storm,away,2016-03-28T08:00:08Z,19.022399999999998,79.2508,47.236399999999996,1368.7939999999999,1533.1816000000001,874.1916000000001,1029.7736,0,3.7072,2016,8.20835648148148,Early,6,73,46,27,1,1533.0109832143867,1507.428322729483,1555.5999209297297,6
9867,98670501,5,Eagles,home,2016-03-31T09:05:01Z,8.710656000000004,72.86486399999998,46.12698400000001,1350.5581680000003,1507.832968,1117.1105440000001,827.6062479999998,0,0.2222160000000002,2016,5.0242708333333335,Early,NA,NA,NA,NA,NA,1501.1014148746845,1500.0535720896003,1503.231423452694,12
9867,98670501,5,Rabbitohs,away,2016-03-31T09:05:01Z,38.48769599999999,87.50140799999998,52.719384,1508.22428,1437.03748,784.7339840000001,1088.2267840000002,0,1.3952320000000002,2016,6.170138888888889,Early,4,108,66,42,7,1497.7765841768753,1499.8926079410744,1493.4437927152064,16
9867,98670502,5,Broncos,away,2016-04-01T09:05:02Z,17.002527999999998,70.231728,54.304768,1478.5053520000001,1587.689912,695.3024160000001,1063.206072,0,0.18000000000000016,2016,7,Early,6,85,57,28,2,1520.4325400088223,1504.8750055023368,1532.4776519140335,24
9867,98670502,5,Titans,home,2016-04-01T09:05:02Z,28.897776,74.43123200000001,54.544552,1363.007136,1711.6642080000001,639.4522000000002,1107.836736,0,0.22243200000000019,2016,6.107627314814815,Early,6,100,84,16,4,1523.649610072306,1505.0348161937998,1541.7236935694405,16
9867,98670503,5,Storm,home,2016-04-02T04:00:03Z,18.241055999999997,78.815752,47.102216,1377.1463599999997,1527.5307040000002,894.6401040000002,1006.927184,0,3.7247679999999996,2016,4.833275462962963,Early,6,79,60,19,3,1520.0217616600833,1504.8566453530195,1531.1968552328212,18
9867,98670503,5,Knights,away,2016-04-02T04:00:03Z,12.718704000000002,70.352488,45.260832,1724.3003760000001,1358.3663519999998,1156.82016,617.9523760000001,0,1.109416,2016,5.041631944444444,Early,1,60,142,-82,15,1466.9812708054671,1492.5715589551553,1444.3765939311668,14
9867,98670504,5,Sharks,away,2016-04-02T06:30:04Z,14.735456,69.00612800000002,46.90284,1451.351224,1552.4751600000002,939.021584,870.1143760000001,0,1.88,2016,4.937453703703704,Early,4,70,50,20,9,1500.7540949007023,1500.0359607785713,1502.240928116991,34
