"","player_id","firstname","surname"
"346",991433,"Will","Pearsall"
"347",991438,"Jake","Trbojevic"
"348",991442,"Dean","Britt"
"349",991443,"Billy","Brittain"
"350",991452,"Richard","Kennar"
"351",991453,"Rhys","Kennedy"
"352",991459,"Matt","Lodge"
"353",991471,"Francis","Tualau"
"354",991474,"Christian","Welch"
"355",991478,"Adam","Clydsdale"
"356",991487,"Jake","Mamo"
"357",991490,"Pat","Mata'utia"
"358",991497,"Joseph","Tapine"
"359",991500,"Daniel","Alvaro"
"360",991506,"Zach","Dockar-Clay"
"361",991507,"John","Folau"
"362",991509,"Jordan","Grant"
"363",991512,"Tui","Kamikamica"
"364",991519,"Ryan","Matterson"
"365",991523,"Tepai","Moeroa"
"366",991525,"Pauli","Pauli"
"367",991526,"Kaysa","Pritchard"
"368",991529,"Kelepi","Tanginoa"
"369",991536,"Reagan","Campbell-Gillard"
"370",991537,"Bryce","Cartwright"
"371",991543,"George","Jennings"
"372",991545,"Kierran","Moseley"
"373",991550,"Chris","Smith"
"374",991557,"Dallin","Watene-Zelezniak"
"375",991559,"Michael","Lichaa"
"376",991564,"Fa'amanu","Brown"
"377",991572,"Kurt","Dillon"
"378",991587,"Scott","Sorensen"
"379",991595,"Jack","Gosiewski"
"380",991596,"Aaron","Gray"
"381",991600,"Alex","Johnston"
"382",991606,"Cameron","McInnes"
"383",991610,"Tyrone","Phillips"
"384",991638,"Craig","Garvey"
"385",991647,"Sitiveni","Moceidreke"
"386",991660,"John","Asiata"
"387",991663,"Tyler","Cornish"
"388",991664,"Brendan","Elliot"
"389",991667,"Nene","Macdonald"
"390",991669,"Rhyse","Martin"
"391",991678,"David","Bhana"
"392",991680,"Raymond","Faitala-Mariner"
"393",991682,"David","Fusitu'a"
"394",991683,"Siliva","Havili"
"395",991687,"Mason","Lino"
"396",991696,"Albert","Vete"
"397",991704,"Agnatius","Paasi"
"398",991705,"Suaia","Matagi"
"399",991711,"Jack","Buchanan"
"400",991714,"Asipeli","Fine"
"401",991717,"David","Nofoaluma"
"402",991718,"Ava","Seumanufagai"
"403",991720,"Sauaso","Sue"
"404",991722,"Luke","Brooks"
"405",991723,"Manaia","Cherrington"
"406",991733,"Delouise","Hoeter"
"407",991739,"Kyle","Lovett"
"408",991742,"Nathan","Milone"
"409",991743,"Mitchell","Moses"
"410",991759,"Charlie","Gubb"
"411",993085,"Sitaleki","Akauola"
"412",993375,"Matt","Moylan"
"413",995034,"Zak","Hardaker"
"414",995043,"Eloni","Vunakece"
"415",995052,"Kallum","Watkins"
"416",995079,"Tyrone","McCarthy"
"417",995175,"Bureta","Faraimo"
"418",995274,"Jack","Littlejohn"
"419",995276,"Cameron","Munster"
"420",995278,"Cody","Walker"
"421",995280,"Mike","Cooper"
"422",995281,"Jackson","Hastings"
"423",995297,"Jamil","Hopoate"
"424",995647,"Valentine","Holmes"
"425",995655,"Anthony","Gelling"
"426",995664,"John","Bateman"
"427",995665,"George","Williams"
"428",995666,"Dan","Sarginson"
"429",995670,"Joe","Burgess"
"430",995671,"Corey","Thompson"
"431",995672,"Manu","Ma'u"
"432",995673,"Isaah","Yeo"
"433",995675,"Luke","Bateman"
"434",995678,"Solomone","Kata"
"435",995679,"Tuimoala","Lolohea"
"436",995794,"Josh","Addo-Carr"
